scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,243.6115,241.1754,243.6115,25-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.1754,1/25/2013,243.6115,243.6115,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,243.6142,241.1781,243.6142,28-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.1781,1/28/2013,243.6142,243.6142,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,242.2158,239.7936,242.2158,29-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.7936,1/29/2013,242.2158,242.2158,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,242.3174,239.8942,242.3174,30-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.8942,1/30/2013,242.3174,242.3174,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,241.5002,239.0852,241.5002,31-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.0852,1/31/2013,241.5002,241.5002,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,240.8373,238.4289,240.8373,1-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.4289,2/1/2013,240.8373,240.8373,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,239.9897,237.5898,239.9897,4-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.5898,2/4/2013,239.9897,239.9897,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,238.9666,236.5769,238.9666,5-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,236.5769,2/5/2013,238.9666,238.9666,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,238.7751,236.3873,238.7751,6-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,236.3873,2/6/2013,238.7751,238.7751,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,237.9237,235.5445,237.9237,7-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.5445,2/7/2013,237.9237,237.9237,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,236.3821,234.0183,236.3821,8-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,234.0183,2/8/2013,236.3821,236.3821,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,236.1268,233.7655,236.1268,11-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,233.7655,2/11/2013,236.1268,236.1268,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,237.5724,235.1967,237.5724,12-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.1967,2/12/2013,237.5724,237.5724,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,237.8058,235.4277,237.8058,13-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.4277,2/13/2013,237.8058,237.8058,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,235.9521,233.5926,235.9521,14-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,233.5926,2/14/2013,235.9521,235.9521,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,235.6299,233.2736,235.6299,15-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,233.2736,2/15/2013,235.6299,235.6299,,,,,,,,,,
