scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1,Return,Variance,SD,NIFTY 50 Return,Var N50,SD  Nifty
118531,Franklin India Bluechip Fund- Direct - Growth,242.3174,239.8942,242.3174,30-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.8942,1/30/2013,242.3174,242.3174,0.04%,2.64781E-11,5.14569E-06,0.051%,1.13031E-09,3.36201E-05
118531,Franklin India Bluechip Fund- Direct - Growth,241.5002,239.0852,241.5002,31-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.0852,1/31/2013,241.5002,241.5002,-0.34%,1.71182E-09,4.13741E-05,-0.333%,4.88205E-08,0.000220954
118531,Franklin India Bluechip Fund- Direct - Growth,240.8373,238.4289,240.8373,1-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.4289,2/1/2013,240.8373,240.8373,-0.27%,1.13422E-09,3.36782E-05,-0.336%,4.98552E-08,0.000223283
118531,Franklin India Bluechip Fund- Direct - Growth,239.9897,237.5898,239.9897,4-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.5898,2/4/2013,239.9897,239.9897,-0.35%,1.86481E-09,4.31835E-05,-0.228%,2.30185E-08,0.000151718
118531,Franklin India Bluechip Fund- Direct - Growth,238.9666,236.5769,238.9666,5-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,236.5769,2/5/2013,238.9666,238.9666,-0.43%,2.73664E-09,5.23129E-05,-0.894%,3.56527E-07,0.000597099
118531,Franklin India Bluechip Fund- Direct - Growth,238.7751,236.3873,238.7751,6-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,236.3873,2/6/2013,238.7751,238.7751,-0.08%,9.67153E-11,9.83439E-06,0.354%,5.62114E-08,0.000237089
118531,Franklin India Bluechip Fund- Direct - Growth,237.9237,235.5445,237.9237,7-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.5445,2/7/2013,237.9237,237.9237,-0.36%,1.91508E-09,4.37616E-05,-0.603%,1.63597E-07,0.000404472
118531,Franklin India Bluechip Fund- Direct - Growth,236.3821,234.0183,236.3821,8-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,234.0183,2/8/2013,236.3821,236.3821,-0.65%,6.32457E-09,7.95271E-05,-0.359%,5.8366E-08,0.000241591
118531,Franklin India Bluechip Fund- Direct - Growth,236.1268,233.7655,236.1268,11-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,233.7655,2/11/2013,236.1268,236.1268,-0.11%,1.75752E-10,1.32572E-05,-0.124%,7.01539E-09,8.37579E-05
118531,Franklin India Bluechip Fund- Direct - Growth,237.5724,235.1967,237.5724,12-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.1967,2/12/2013,237.5724,237.5724,0.61%,5.64806E-09,7.51536E-05,-0.009%,3.60457E-11,6.00381E-06
118531,Franklin India Bluechip Fund- Direct - Growth,237.8058,235.4277,237.8058,13-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.4277,2/13/2013,237.8058,237.8058,0.10%,1.45468E-10,1.2061E-05,0.501%,1.15323E-07,0.000339593
118531,Franklin India Bluechip Fund- Direct - Growth,235.9521,233.5926,235.9521,14-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,233.5926,2/14/2013,235.9521,235.9521,-0.78%,9.15922E-09,9.57038E-05,-0.387%,6.89864E-08,0.000262653
118531,Franklin India Bluechip Fund- Direct - Growth,235.6299,233.2736,235.6299,15-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,233.2736,2/15/2013,235.6299,235.6299,-0.14%,2.81121E-10,1.67667E-05,-0.615%,1.75319E-07,0.000418711
118531,Franklin India Bluechip Fund- Direct - Growth,235.5567,233.2011,235.5567,18-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,233.2011,2/18/2013,235.5567,235.5567,-0.03%,1.45518E-11,3.81468E-06,0.251%,2.92811E-08,0.000171117
118531,Franklin India Bluechip Fund- Direct - Growth,237.0934,234.7225,237.0934,19-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,234.7225,2/19/2013,237.0934,237.0934,0.65%,6.41813E-09,8.01132E-05,0.450%,9.46589E-08,0.000307667
118531,Franklin India Bluechip Fund- Direct - Growth,237.0113,234.6412,237.0113,20-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,234.6412,2/20/2013,237.0113,237.0113,-0.03%,1.80856E-11,4.25272E-06,0.587%,1.61536E-07,0.000401915
118531,Franklin India Bluechip Fund- Direct - Growth,233.2765,230.9437,233.2765,21-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,230.9437,2/21/2013,233.2765,233.2765,-1.58%,3.74583E-08,0.000193542,-1.238%,7.23065E-07,0.000850333
118531,Franklin India Bluechip Fund- Direct - Growth,234.5389,232.1935,234.5389,22-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,232.1935,2/22/2013,234.5389,234.5389,0.54%,4.41845E-09,6.64714E-05,-0.626%,1.85827E-07,0.000431076
118531,Franklin India Bluechip Fund- Direct - Growth,234.0436,231.7032,234.0436,25-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,231.7032,2/25/2013,234.0436,234.0436,-0.21%,6.72961E-10,2.59415E-05,0.317%,4.78474E-08,0.00021874
118531,Franklin India Bluechip Fund- Direct - Growth,231.3445,229.0311,231.3445,26-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,229.0311,2/26/2013,231.3445,231.3445,-1.15%,2.00721E-08,0.000141676,-1.072%,5.49453E-07,0.000741251
118531,Franklin India Bluechip Fund- Direct - Growth,232.7483,230.4208,232.7483,27-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,230.4208,2/27/2013,232.7483,232.7483,0.61%,5.55784E-09,7.45509E-05,-0.154%,1.13847E-08,0.000106699
118531,Franklin India Bluechip Fund- Direct - Growth,229.436,227.1416,229.436,28-Feb-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,227.1416,2/28/2013,229.436,229.436,-1.42%,3.0575E-08,0.000174857,-0.470%,1.0658E-07,0.000326466
118531,Franklin India Bluechip Fund- Direct - Growth,229.9352,227.6358,229.9352,1-Mar-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,227.6358,3/1/2013,229.9352,229.9352,0.22%,7.14778E-10,2.67353E-05,-0.913%,4.04682E-07,0.000636146
118531,Franklin India Bluechip Fund- Direct - Growth,229.5631,227.2675,229.5631,4-Mar-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,227.2675,3/4/2013,229.5631,229.5631,-0.16%,3.95475E-10,1.98866E-05,-0.166%,1.34267E-08,0.000115874
118531,Franklin India Bluechip Fund- Direct - Growth,233.1369,230.8055,233.1369,5-Mar-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,230.8055,3/5/2013,233.1369,233.1369,1.56%,3.66044E-08,0.000191323,0.908%,4.03829E-07,0.000635475
118531,Franklin India Bluechip Fund- Direct - Growth,234.3592,232.0156,234.3592,6-Mar-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,232.0156,3/6/2013,234.3592,234.3592,0.52%,4.15217E-09,6.44374E-05,1.115%,6.12429E-07,0.000782578
118531,Franklin India Bluechip Fund- Direct - Growth,235.1636,232.812,235.1636,7-Mar-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,232.812,3/7/2013,235.1636,235.1636,0.34%,1.77987E-09,4.21885E-05,0.254%,3.20405E-08,0.000178999
118531,Franklin India Bluechip Fund- Direct - Growth,237.6285,235.2522,237.6285,8-Mar-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.2522,3/8/2013,237.6285,237.6285,1.05%,1.66009E-08,0.000128844,1.412%,9.92465E-07,0.000996225
118531,Franklin India Bluechip Fund- Direct - Growth,237.0776,234.7068,237.0776,11-Mar-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,234.7068,3/11/2013,237.0776,237.0776,-0.23%,8.12246E-10,2.84999E-05,0.500%,1.24802E-07,0.000353274
